Date,Exchange rate
2018-11-02,1.1386
2018-11-04,1.13976
2018-11-05,1.14083
2018-11-06,1.1441
2018-11-07,1.14325
2018-11-08,1.13679
2018-11-09,1.13342
2018-11-11,1.13237
2018-11-12,1.12235
2018-11-13,1.13109
2018-11-14,1.13121
2018-11-15,1.13243
2018-11-16,1.14185
2018-11-18,1.14136
2018-11-19,1.1454
2018-11-20,1.13721
2018-11-21,1.13884
2018-11-22,1.14026
2018-11-23,1.13355
2018-11-25,1.13374
2018-11-26,1.13331
2018-11-27,1.12969
2018-11-28,1.13674
2018-11-29,1.13924
2018-11-30,1.13164
2018-12-02,1.13421
2018-12-03,1.13541
2018-12-04,1.13424
2018-12-05,1.13487
2018-12-06,1.13758
2018-12-07,1.13758
2018-12-09,1.13995
2018-12-10,1.13558
2018-12-11,1.13216
2018-12-12,1.13725
2018-12-13,1.1363
2018-12-14,1.13045
2018-12-16,1.13041
2018-12-17,1.13493
2018-12-18,1.13758
2018-12-19,1.13865
2018-12-20,1.14565
2018-12-21,1.13684
2018-12-23,1.13723
2018-12-24,1.13995
2018-12-25,1.14131
2018-12-26,1.13601
2018-12-27,1.14304
2018-12-28,1.14414
2018-12-30,1.14389
2018-12-31,1.14627
2019-01-01,1.14612
2019-01-02,1.13121
2019-01-03,1.13899
2019-01-04,1.13943
2019-01-06,1.14102
2019-01-07,1.14789
2019-01-08,1.14572
2019-01-09,1.15541
2019-01-10,1.15081
2019-01-11,1.14656
2019-01-13,1.14597
2019-01-14,1.14726
2019-01-15,1.14141
2019-01-16,1.13994
2019-01-17,1.1392
2019-01-18,1.13614
2019-01-20,1.1365
2019-01-21,1.13688
2019-01-22,1.13633
2019-01-23,1.13861
2019-01-24,1.13126
2019-01-25,1.14032
2019-01-27,1.14127
2019-01-28,1.14294
2019-01-29,1.14348
2019-01-30,1.14853
2019-01-31,1.14482
2019-02-01,1.14547
2019-02-03,1.14543
2019-02-04,1.14349
2019-02-05,1.14087
2019-02-06,1.13656
2019-02-07,1.13382
2019-02-08,1.13207
2019-02-10,1.13237
2019-02-11,1.12785
2019-02-12,1.13336
2019-02-13,1.12646
2019-02-14,1.12947
2019-02-15,1.12925
2019-02-17,1.12948
2019-02-18,1.13114
2019-02-19,1.13399
2019-02-20,1.13461
2019-02-21,1.13398
2019-02-22,1.13319
2019-02-24,1.1342
2019-02-25,1.13647
2019-02-26,1.1393
2019-02-27,1.13795
2019-02-28,1.1373
2019-03-01,1.13633
2019-03-03,1.13749
2019-03-04,1.13362
2019-03-05,1.1306
2019-03-06,1.13129
2019-03-07,1.1198
2019-03-08,1.12311
2019-03-10,1.12315
2019-03-11,1.12591
2019-03-12,1.12865
2019-03-13,1.13303
2019-03-14,1.13064
2019-03-15,1.1324
2019-03-17,1.13192
2019-03-18,1.1336
2019-03-19,1.13542
2019-03-20,1.14284
2019-03-21,1.13737
2019-03-22,1.13004
2019-03-24,1.12955
2019-03-25,1.13151
2019-03-26,1.12738
2019-03-27,1.12521
2019-03-28,1.12298
2019-03-29,1.12179
2019-03-31,1.12231
2019-04-01,1.12049
2019-04-02,1.12032
2019-04-03,1.12446
2019-04-04,1.12222
2019-04-05,1.12142
2019-04-07,1.12181
2019-04-08,1.12555
2019-04-09,1.12655
2019-04-10,1.12758
2019-04-11,1.12601
2019-04-12,1.12976
2019-04-14,1.13028
2019-04-15,1.13043
2019-04-16,1.12845
2019-04-17,1.12965
2019-04-18,1.12349
2019-04-19,1.12408
2019-04-21,1.1244
2019-04-22,1.12584
2019-04-23,1.12237
2019-04-24,1.11533
2019-04-25,1.11353
2019-04-26,1.11429
2019-04-28,1.11494
2019-04-29,1.11848
2019-04-30,1.12157
2019-05-01,1.12024
2019-05-02,1.11729
2019-05-03,1.12007
2019-05-05,1.11846
2019-05-06,1.1201
2019-05-07,1.11895
2019-05-08,1.11977
2019-05-09,1.12184
2019-05-10,1.12329
2019-05-12,1.12357
2019-05-13,1.1232
2019-05-14,1.12032
2019-05-15,1.12068
2019-05-16,1.11731
2019-05-17,1.11563
2019-05-19,1.11646
2019-05-20,1.11673
2019-05-21,1.11643
2019-05-22,1.11552
2019-05-23,1.11841
2019-05-24,1.12043
2019-05-26,1.12068
2019-05-27,1.11934
2019-05-28,1.11681
2019-05-29,1.11366
2019-05-30,1.11295
2019-05-31,1.11678
2019-06-02,1.11736
2019-06-03,1.12457
2019-06-04,1.12536
2019-06-05,1.12286
2019-06-06,1.12755
2019-06-07,1.13334
2019-06-09,1.1319
2019-06-10,1.13179
2019-06-11,1.13295
2019-06-12,1.12924
2019-06-13,1.12795
2019-06-14,1.1205
2019-06-16,1.12155
2019-06-17,1.12242
2019-06-18,1.11978
2019-06-19,1.12357
2019-06-20,1.12943
2019-06-21,1.13679
2019-06-23,1.1385
2019-06-24,1.13991
2019-06-25,1.13681
2019-06-26,1.13735
2019-06-27,1.13711
2019-06-28,1.13681
2019-06-30,1.13601
2019-07-01,1.12868
2019-07-02,1.12904
2019-07-03,1.12873
2019-07-04,1.12853
2019-07-05,1.12235
2019-07-07,1.12267
2019-07-08,1.12151
2019-07-09,1.12043
2019-07-10,1.12583
2019-07-11,1.12498
2019-07-12,1.12698
2019-07-14,1.1271
2019-07-15,1.12597
2019-07-16,1.12116
2019-07-17,1.12273
2019-07-18,1.1261
2019-07-19,1.12192
2019-07-21,1.12175
2019-07-22,1.12042
2019-07-23,1.11508
2019-07-24,1.11419
2019-07-25,1.11448
2019-07-26,1.11247
2019-07-28,1.11295
2019-07-29,1.11423
2019-07-30,1.11568
2019-07-31,1.10715
2019-08-01,1.10788
2019-08-02,1.11057
2019-08-04,1.11075
2019-08-05,1.12418
2019-08-06,1.12054
2019-08-07,1.12039
2019-08-08,1.11861
2019-08-09,1.11969
2019-08-11,1.12073
2019-08-12,1.12162
2019-08-13,1.11764
2019-08-14,1.11428
2019-08-15,1.11103
2019-08-16,1.10899
2019-08-18,1.10919
2019-08-19,1.10814
2019-08-20,1.10972
2019-08-21,1.10901
2019-08-22,1.10836
2019-08-23,1.1136
2019-08-25,1.11433
2019-08-26,1.11013
2019-08-27,1.10893
2019-08-28,1.10855
2019-08-29,1.10589
2019-08-30,1.0988
2019-09-01,1.09904
2019-09-02,1.09641
2019-09-03,1.09725
2019-09-04,1.10347
2019-09-05,1.1034
2019-09-06,1.1025
2019-09-08,1.10201
2019-09-09,1.10469
2019-09-10,1.10501
2019-09-11,1.10135
2019-09-12,1.10561
2019-09-13,1.10707
2019-09-15,1.10831
2019-09-16,1.10031
2019-09-17,1.10736
2019-09-18,1.10291
2019-09-19,1.10446
2019-09-20,1.10169
2019-09-22,1.10185
2019-09-23,1.09939
2019-09-24,1.10135
2019-09-25,1.09511
2019-09-26,1.09222
2019-09-27,1.09367
2019-09-29,1.09422
2019-09-30,1.08993
2019-10-01,1.09339
2019-10-02,1.09605
2019-10-03,1.09744
2019-10-04,1.0976
2019-10-06,1.09832
2019-10-07,1.09715
2019-10-08,1.09597
2019-10-09,1.09842
2019-10-10,1.10106
2019-10-11,1.10329
2019-10-13,1.10282
2019-10-14,1.10259
2019-10-15,1.10344
2019-10-16,1.10737
2019-10-17,1.11244
2019-10-18,1.11703
2019-10-20,1.11558
2019-10-21,1.11515
2019-10-22,1.11289
2019-10-23,1.11322
2019-10-24,1.11034
2019-10-25,1.1079
2019-10-27,1.10839
2019-10-28,1.10982
2019-10-29,1.1112
2019-10-30,1.11521
2019-10-31,1.11561
2019-11-01,1.11641
2019-11-03,1.11661
2019-11-04,1.11279
2019-11-05,1.10738
2019-11-06,1.107
2019-11-07,1.10523
2019-11-08,1.10176
2019-11-10,1.10218
2019-11-11,1.10347
2019-11-12,1.1012
2019-11-13,1.10096
2019-11-14,1.10197
2019-11-15,1.10494
2019-11-17,1.10539
2019-11-18,1.10722
2019-11-19,1.10779
2019-11-20,1.10779
2019-11-21,1.10656
2019-11-22,1.10179
2019-11-24,1.10225
2019-11-25,1.10104
2019-11-26,1.1022
2019-11-27,1.10048
2019-11-28,1.10113
2019-11-29,1.1015
2019-12-01,1.10182
2019-12-02,1.10761
2019-12-03,1.10818
2019-12-04,1.10827
2019-12-05,1.11038
2019-12-06,1.10543
2019-12-08,1.10582
2019-12-09,1.10643
2019-12-10,1.10923
2019-12-11,1.11325
